Participant,Condition_x,Before Anger,After Anger,Before Disgust,After Disgust,Before Fear,After Fear,Before Anxiety,After Anxiety,Before Sadness,After Sadness,Before Desire,After Desire,Before Relaxation,After Relaxation,Before Happiness,After Happiness
1,1,28.0,4.0,25.0,4.0,28.0,4.0,28.0,4.0,28.0,4.0,28.0,4.0,8.5,28.0,11.5,22.0
2,2,22.0,4.0,7.0,4.0,13.0,4.0,26.5,4.0,22.0,4.0,17.5,8.5,7.0,28.0,7.0,28.0
5,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,16.0,8.5,14.5
6,2,10.0,4.0,17.5,4.0,7.0,4.0,13.0,4.0,11.5,4.0,16.0,5.5,14.5,22.0,14.5,22.0
8,1,7.0,11.5,7.0,4.0,4.0,5.5,4.0,10.0,10.0,10.0,4.0,10.0,17.5,10.0,8.5,7.0
11,1,7.0,4.0,5.5,5.5,4.0,4.0,8.5,8.5,5.5,5.5,10.0,11.5,22.0,22.0,20.5,19.0
12,2,4.0,4.0,5.5,10.0,4.0,4.0,7.0,7.0,5.5,4.0,8.5,5.5,19.0,19.0,19.0,16.0
13,1,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,5.5,8.5,8.5,19.0,25.0,20.5,25.0
16,1,7.0,10.0,4.0,4.0,4.0,4.0,5.5,7.0,5.5,4.0,4.0,4.0,8.5,4.0,8.5,13.0
21,0,5.5,4.0,4.0,4.0,4.0,4.0,5.5,4.0,8.5,4.0,13.0,4.0,20.5,20.5,13.0,16.0
24,0,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.5,5.5,5.5,4.0,4.0,10.0,14.5,7.0,11.5
26,0,4.0,4.0,7.0,5.5,4.0,4.0,7.0,4.0,4.0,4.0,4.0,13.0,23.5,22.0,13.0,19.0
33,1,7.0,4.0,4.0,5.5,4.0,4.0,8.5,4.0,5.5,7.0,8.5,16.0,11.5,13.0,8.5,16.0
36,0,4.0,4.0,4.0,4.0,4.0,4.0,11.5,8.5,4.0,4.0,11.5,10.0,7.0,13.0,10.0,16.0
39,0,4.0,4.0,5.5,5.5,4.0,4.0,4.0,4.0,4.0,5.5,4.0,4.0,22.0,16.0,14.5,13.0
40,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,20.5,19.0,16.0,16.0
42,1,4.0,4.0,4.0,5.5,4.0,4.0,4.0,4.0,4.0,4.0,11.5,10.0,25.0,26.5,17.5,22.0
