Participant,Condition_x,Before Anger,After Anger,Before Disgust,After Disgust,Before Fear,After Fear,Before Anxiety,After Anxiety,Before Sadness,After Sadness,Before Desire,After Desire,Before Relaxation,After Relaxation,Before Happiness,After Happiness
3,1,4.0,5.5,11.5,10.0,7.0,4.0,13.0,8.5,8.5,5.5,16.0,17.5,22.0,22.0,20.5,20.5
4,1,4.0,4.0,4.0,7.0,4.0,4.0,14.5,5.5,5.5,4.0,7.0,7.0,14.5,20.5,13.0,14.5
7,2,4.0,5.5,4.0,14.5,8.5,10.0,10.0,11.5,11.5,10.0,11.5,8.5,13.0,10.0,8.5,10.0
9,0,14.5,10.0,17.5,16.0,14.5,13.0,16.0,13.0,23.5,20.5,16.0,17.5,8.5,16.0,7.0,13.0
10,2,5.5,4.0,4.0,10.0,7.0,7.0,13.0,13.0,11.5,11.5,17.5,16.0,16.0,16.0,16.0,14.5
14,2,4.0,4.0,5.5,10.0,4.0,4.0,5.5,4.0,4.0,4.0,5.5,4.0,20.5,22.0,25.0,23.5
15,1,4.0,4.0,4.0,7.0,7.0,7.0,10.0,7.0,5.5,5.5,10.0,13.0,16.0,23.5,14.5,20.5
17,2,8.5,4.0,4.0,14.5,7.0,5.5,13.0,8.5,4.0,4.0,11.5,5.5,7.0,8.5,11.5,13.0
18,0,8.5,4.0,5.5,8.5,4.0,7.0,4.0,8.5,4.0,5.5,5.5,4.0,13.0,11.5,13.0,8.5
19,2,7.0,4.0,5.5,10.0,11.5,4.0,16.0,10.0,4.0,4.0,10.0,10.0,11.5,20.5,19.0,23.5
20,0,4.0,4.0,4.0,19.0,4.0,7.0,5.5,8.5,4.0,10.0,5.5,4.0,28.0,14.5,20.5,16.0
22,0,4.0,4.0,4.0,5.5,4.0,4.0,5.5,11.5,4.0,4.0,5.5,5.5,19.0,20.5,14.5,17.5
23,1,8.5,4.0,4.0,14.5,5.5,4.0,13.0,4.0,8.5,4.0,13.0,16.0,17.5,20.5,22.0,20.5
25,2,5.5,14.5,7.0,14.5,4.0,5.5,11.5,7.0,7.0,10.0,11.5,11.5,20.5,8.5,13.0,16.0
27,0,7.0,4.0,5.5,10.0,4.0,7.0,10.0,8.5,5.5,7.0,10.0,11.5,19.0,16.0,14.5,11.5
28,2,4.0,4.0,7.0,11.5,4.0,4.0,7.0,4.0,4.0,4.0,8.5,8.5,23.5,23.5,20.5,22.0
29,1,4.0,4.0,5.5,8.5,4.0,4.0,8.5,5.5,4.0,4.0,4.0,10.0,19.0,13.0,19.0,14.5
30,2,13.0,10.0,8.5,13.0,4.0,7.0,10.0,5.5,13.0,7.0,11.5,11.5,7.0,19.0,10.0,13.0
31,1,4.0,4.0,4.0,11.5,4.0,4.0,5.5,5.5,4.0,4.0,8.5,4.0,23.5,17.5,22.0,19.0
32,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.5,4.0,5.5,4.0,16.0,19.0,10.0,11.5
34,0,4.0,4.0,4.0,13.0,5.5,11.5,10.0,13.0,8.5,7.0,11.5,4.0,20.5,4.0,14.5,4.0
35,0,4.0,4.0,4.0,25.0,4.0,4.0,7.0,11.5,4.0,5.5,11.5,4.0,14.5,5.5,14.5,5.5
37,2,4.0,4.0,5.5,7.0,4.0,4.0,8.5,4.0,5.5,4.0,10.0,16.0,10.0,25.0,7.0,23.5
38,1,4.0,4.0,5.5,10.0,19.0,4.0,14.5,5.5,17.5,8.5,23.5,8.5,5.5,11.5,4.0,8.5
41,2,5.5,5.5,4.0,7.0,4.0,7.0,7.0,17.5,5.5,7.0,7.0,8.5,14.5,4.0,13.0,4.0
