,,0,1,2
Participant,count,14.0,14.0,14.0
Participant,mean,25.428571428571427,19.071428571428573,20.0
Participant,std,10.675019623215874,13.57862735622128,12.285075373113383
Participant,min,5.0,1.0,2.0
Participant,25%,20.25,8.75,10.5
Participant,50%,25.0,15.5,18.0
Participant,75%,34.75,30.5,29.5
Participant,max,40.0,42.0,41.0
Before Anger,count,14.0,14.0,14.0
Before Anger,mean,5.392857142857143,6.892857142857143,7.214285714285714
Before Anger,std,2.96893254210338,6.2946209375349005,5.0562766998982625
Before Anger,min,4.0,4.0,4.0
Before Anger,25%,4.0,4.0,4.0
Before Anger,50%,4.0,4.0,5.5
Before Anger,75%,5.125,7.0,8.125
Before Anger,max,14.5,28.0,22.0
After Anger,count,14.0,14.0,14.0
After Anger,mean,4.428571428571429,5.071428571428571,5.392857142857143
After Anger,std,1.6035674514745466,2.4562098918795665,3.0833209582961247
After Anger,min,4.0,4.0,4.0
After Anger,25%,4.0,4.0,4.0
After Anger,50%,4.0,4.0,4.0
After Anger,75%,4.0,4.0,5.125
After Anger,max,10.0,11.5,14.5
Before Disgust,count,14.0,14.0,14.0
Before Disgust,mean,5.5,6.571428571428571,6.357142857142857
Before Disgust,std,3.5787836352163436,5.686884853824574,3.5160542320387154
Before Disgust,min,4.0,4.0,4.0
Before Disgust,25%,4.0,4.0,4.0
Before Disgust,50%,4.0,4.0,5.5
Before Disgust,75%,5.5,5.5,7.0
Before Disgust,max,17.5,25.0,17.5
After Disgust,count,14.0,14.0,14.0
After Disgust,mean,9.142857142857142,7.214285714285714,9.571428571428571
After Disgust,std,6.700828225010615,3.268228676411533,3.8772370359531845
After Disgust,min,4.0,4.0,4.0
After Disgust,25%,4.0,4.375,7.0
After Disgust,50%,5.5,6.25,10.0
After Disgust,75%,12.25,9.625,12.625
After Disgust,max,25.0,14.5,14.5
Before Fear,count,14.0,14.0,14.0
Before Fear,mean,4.857142857142857,7.321428571428571,6.142857142857143
Before Fear,std,2.8040394723750524,7.161883999171058,3.0409295860398924
Before Fear,min,4.0,4.0,4.0
Before Fear,25%,4.0,4.0,4.0
Before Fear,50%,4.0,4.0,4.0
Before Fear,75%,4.0,6.625,7.0
Before Fear,max,14.5,28.0,13.0
After Fear,count,14.0,14.0,14.0
After Fear,mean,5.821428571428571,4.321428571428571,5.285714285714286
After Fear,std,3.0102845690753535,0.8684013352827591,1.847183778644646
After Fear,min,4.0,4.0,4.0
After Fear,25%,4.0,4.0,4.0
After Fear,50%,4.0,4.0,4.0
After Fear,75%,7.0,4.0,6.625
After Fear,max,13.0,7.0,10.0
Before Anxiety,count,14.0,14.0,14.0
Before Anxiety,mean,7.107142857142857,10.321428571428571,10.857142857142858
Before Anxiety,std,3.5527809877971297,6.259169098386606,5.634470050257855
Before Anxiety,min,4.0,4.0,4.0
Before Anxiety,25%,4.375,5.875,7.0
Before Anxiety,50%,5.5,8.5,10.0
Before Anxiety,75%,9.25,13.0,13.0
Before Anxiety,max,16.0,28.0,26.5
After Anxiety,count,14.0,14.0,14.0
After Anxiety,mean,7.75,5.928571428571429,7.428571428571429
After Anxiety,std,3.517811819867572,1.9889806323953876,4.219265078446459
After Anxiety,min,4.0,4.0,4.0
After Anxiety,25%,4.0,4.0,4.0
After Anxiety,50%,8.5,5.5,6.25
After Anxiety,75%,10.75,7.0,9.625
After Anxiety,max,13.0,10.0,17.5
Before Sadness,count,14.0,14.0,14.0
Before Sadness,mean,6.25,8.285714285714286,8.178571428571429
Before Sadness,std,5.221074160037892,6.7302825569736155,5.168719313394696
Before Sadness,min,4.0,4.0,4.0
Before Sadness,25%,4.0,4.375,4.375
Before Sadness,50%,4.0,5.5,5.5
Before Sadness,75%,5.5,8.5,11.5
Before Sadness,max,23.5,28.0,22.0
After Sadness,count,14.0,14.0,14.0
After Sadness,mean,6.464285714285714,5.392857142857143,5.821428571428571
After Sadness,std,4.387325651650031,1.9032216758046727,2.770775667966969
After Sadness,min,4.0,4.0,4.0
After Sadness,25%,4.0,4.0,4.0
After Sadness,50%,5.5,4.75,4.0
After Sadness,75%,6.625,5.5,7.0
After Sadness,max,20.5,10.0,11.5
Before Desire,count,14.0,14.0,14.0
Before Desire,mean,8.071428571428571,11.178571428571429,10.857142857142858
Before Desire,std,4.051861599016237,7.113387007978317,3.9342117352809036
Before Desire,min,4.0,4.0,5.5
Before Desire,25%,4.375,7.375,8.5
Before Desire,50%,6.25,9.25,10.75
Before Desire,75%,11.5,12.625,11.5
Before Desire,max,16.0,28.0,17.5
After Desire,count,14.0,14.0,14.0
After Desire,mean,6.892857142857143,10.0,8.821428571428571
After Desire,std,4.381686413263258,4.480727962834061,3.9105731571704956
After Desire,min,4.0,4.0,4.0
After Desire,25%,4.0,7.375,5.5
After Desire,50%,4.0,10.0,8.5
After Desire,75%,9.25,12.625,11.125
After Desire,max,17.5,17.5,16.0
Before Relaxation,count,14.0,14.0,14.0
Before Relaxation,mean,16.857142857142858,16.428571428571427,14.285714285714286
Before Relaxation,std,6.356185876852478,6.041068241172706,5.387714963458305
Before Relaxation,min,7.0,5.5,7.0
Before Relaxation,25%,10.75,12.25,10.375
Before Relaxation,50%,19.0,17.5,14.5
Before Relaxation,75%,20.5,21.25,18.25
Before Relaxation,max,28.0,25.0,23.5
After Relaxation,count,14.0,14.0,14.0
After Relaxation,mean,14.928571428571429,18.357142857142858,17.5
After Relaxation,std,5.2435203341367425,7.053173239560527,7.133345315110954
After Relaxation,min,4.0,4.0,4.0
After Relaxation,25%,13.375,13.0,11.5
After Relaxation,50%,16.0,20.5,19.0
After Relaxation,75%,18.25,23.125,22.0
After Relaxation,max,22.0,28.0,28.0
Before Happiness,count,14.0,14.0,14.0
Before Happiness,mean,12.892857142857142,15.035714285714286,13.857142857142858
Before Happiness,std,3.696040352284358,6.046182157470835,5.4470477940192215
Before Happiness,min,7.0,4.0,7.0
Before Happiness,25%,10.75,9.25,10.0
Before Happiness,50%,13.75,16.0,13.0
Before Happiness,75%,14.5,20.5,18.25
Before Happiness,max,20.5,22.0,25.0
After Happiness,count,14.0,14.0,14.0
After Happiness,mean,13.0,17.285714285714285,17.178571428571427
After Happiness,std,4.441933051135421,5.257647491307984,6.712809634334433
After Happiness,min,4.0,7.0,4.0
After Happiness,25%,11.5,14.5,13.0
After Happiness,50%,13.75,19.0,16.0
After Happiness,75%,16.0,20.5,23.125
After Happiness,max,19.0,25.0,28.0
